id,date,product_category,region,user_rating,quantity,price
1,2023-01-01,Electronics,North,4.5,2,850.50
2,2023-01-02,Clothing,South,3.8,5,120.00
3,2023-01-02,Home,East,4.9,1,450.75
4,2023-01-03,Electronics,West,4.2,1,1200.00
5,2023-01-03,Clothing,North,4.0,3,90.50
6,2023-01-04,Books,South,4.8,10,150.00
7,2023-01-05,Electronics,East,3.5,1,299.99
8,2023-01-05,Home,West,4.1,2,85.00
9,2023-01-06,Beauty,North,4.7,4,65.25
10,2023-01-07,Books,South,4.9,2,30.00
11,2023-01-08,Clothing,East,3.9,6,180.00
12,2023-01-08,Electronics,West,4.6,1,950.00
13,2023-01-09,Home,North,4.3,3,210.50
14,2023-01-10,Beauty,South,4.0,2,45.50
15,2023-01-10,Electronics,East,4.4,1,550.00
16,2023-01-11,Books,West,4.8,5,75.00
17,2023-01-12,Clothing,North,3.7,2,55.00
18,2023-01-13,Home,South,4.5,1,125.75
19,2023-01-14,Electronics,East,4.2,2,400.00
20,2023-01-15,Beauty,West,4.9,3,89.99
